PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LINC01170-2	chr5	124139884	124140971	+	0	NA	intron (NR_125774, intron 4 of 5)	L1MEc|LINE|L1	298093	NR_125774	103724389		NR_125774		LINC01170	-	long intergenic non-protein coding RNA 1170	ncRNA
COMMD9	chr11	36233337	36233570	+	0	NA	Intergenic	MER58A|DNA|hAT-Charlie	55971	NM_001101653	29099		NM_014186	ENSG00000110442	COMMD9	C11orf55|HSPC166|LINC00610	COMM domain containing 9	protein-coding
C1orf220	chr1	178558641	178559322	+	0	NA	Intergenic	HERVK9-int|LTR|ERVK	16185	NR_033186	400798		NM_207467	ENSG00000213057	C1orf220	-	chromosome 1 putative open reading frame 220	ncRNA
SCG2-2	chr2	223587902	223588720	+	0	NA	Intergenic	Intergenic	14050	NM_003469	7857		NM_003469	ENSG00000171951	SCG2	CHGC|EM66|SN|SgII	secretogranin II	protein-coding
ST3GAL3-AS1	chr1	43736483	43737131	+	0	NA	intron (NM_001270463, intron 2 of 7)	intron (NM_001270463, intron 2 of 7)	-9464	NR_125986	101929592		NR_125986	ENSG00000229444	ST3GAL3-AS1	-	ST3GAL3 antisense RNA 1	ncRNA
TSPYL5-2	chr8	97311002	97312317	+	0	NA	intron (NR_125390, intron 2 of 2)	intron (NR_125390, intron 2 of 2)	-33731	NM_033512	85453		NM_033512	ENSG00000180543	TSPYL5	-	TSPY like 5	protein-coding
RBM43-2	chr2	151228841	151229645	+	0	NA	Intergenic	MIRb|SINE|MIR	32620	NM_198557	375287		NM_198557	ENSG00000184898	RBM43	C2orf38	RNA binding motif protein 43	protein-coding
NDUFB4	chr3	120528145	120528827	+	0	NA	Intergenic	Tigger10|DNA|TcMar-Tigger	-67850	NM_004547	4710		NM_004547	ENSG00000065518	NDUFB4	B15|CI-B15	NADH:ubiquinone oxidoreductase subunit B4	protein-coding
ZMAT4	chr8	40924560	40925372	+	0	NA	Intergenic	Intergenic	-27140	NM_024645	79698		NM_024645	ENSG00000165061	ZMAT4	-	zinc finger matrin-type 4	protein-coding
KLF4-2	chr9	107547940	107549195	+	0	NA	Intergenic	Intergenic	-58798	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
PCNX4	chr14	60067988	60068212	+	0	NA	Intergenic	Intergenic	-23811	NM_022495	64430		NM_022495	ENSG00000126773	PCNX4	C14orf135|FBP2|PCNXL4	pecanex 4	protein-coding
INSM1	chr20	20222414	20222764	+	0	NA	intron (NM_015585, intron 17 of 26)	intron (NM_015585, intron 17 of 26)	-145515	NM_002196	3642		NM_002196	ENSG00000173404	INSM1	IA-1|IA1	INSM transcriptional repressor 1	protein-coding
BCYRN1	chr2	47295271	47296326	+	0	NA	intron (NR_110207, intron 1 of 2)	intron (NR_110207, intron 1 of 2)	-39517	NR_001568	618		NR_001568	ENSG00000236824	BCYRN1	BC200|BC200a|LINC00004|NCRNA00004	brain cytoplasmic RNA 1	ncRNA
NOG	chr17	56577136	56578411	+	0	NA	Intergenic	Intergenic	-15926	NM_005450	9241		NM_005450	ENSG00000183691	NOG	SYM1|SYNS1|SYNS1A	noggin	protein-coding
FZD1	chr7	91149630	91150195	+	0	NA	intron (NM_012395, intron 13 of 13)	intron (NM_012395, intron 13 of 13)	-114521	NM_003505	8321		NM_003505	ENSG00000157240	FZD1	-	frizzled class receptor 1	protein-coding
DMAC1	chr9	7326120	7326870	+	0	NA	Intergenic	Intergenic	473283	NM_001318058	90871		NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly component 1	protein-coding
CLSTN2-AS1	chr3	140317094	140317472	+	0	NA	intron (NM_022131, intron 2 of 16)	intron (NM_022131, intron 2 of 16)	191506	NR_108084	101927808		NR_108084	ENSG00000250433	CLSTN2-AS1	-	CLSTN2 antisense RNA 1	ncRNA
MIR197	chr1	109573487	109574245	+	0	NA	intron (NM_006496, intron 2 of 8)	intron (NM_006496, intron 2 of 8)	-25027	NR_029583	406974		NR_029583	ENSG00000284443	MIR197	MIRN197|miR-197|miRNA197	microRNA 197	ncRNA
LINC01491	chr15	47964252	47964659	+	0	NA	Intergenic	Intergenic	-118219	NR_120336	101928442		NR_120336		LINC01491	-	long intergenic non-protein coding RNA 1491	ncRNA
LOC284788	chr20	22366725	22367502	+	0	NA	Intergenic	Intergenic	53530	NR_027089	284788		NR_027089	ENSG00000204684	LOC284788	-	uncharacterized LOC284788	ncRNA
TBX15	chr1	118849113	118849692	+	0	NA	Intergenic	Intergenic	138941	NM_001330677	6913		NM_152380	ENSG00000092607	TBX15	TBX14	T-box transcription factor 15	protein-coding
LINC01972	chr3	194801276	194802217	+	0	NA	Intergenic	Intergenic	-33037	NR_146990	105374293		NR_146990	ENSG00000230401	LINC01972	-	long intergenic non-protein coding RNA 1972	ncRNA
LINC02113-2	chr5	99913063	99913266	+	0	NA	Intergenic	L2a|LINE|L2	379174	NR_110562	102724855		NR_110562		LINC02113	CTD-2151A2.1	long intergenic non-protein coding RNA 2113	ncRNA
LINC02380	chr4	57629979	57630562	+	0	NA	Intergenic	L3|LINE|CR1	204398	NR_125907	101928851		NR_125907	ENSG00000248505	LINC02380	-	long intergenic non-protein coding RNA 2380	ncRNA
TEX41	chr2	144990366	144990938	+	0	NA	intron (NR_033870, intron 3 of 4)	intron (NR_033870, intron 3 of 4)	322685	NR_033870	401014		NR_033870	ENSG00000226674	TEX41	DKFZp686O1327|LINC00953	testis expressed 41	ncRNA
NR2F1-AS1	chr5	92880141	92880417	+	0	NA	Intergenic	Intergenic	691064	NR_109825	441094		NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
CD96	chr3	111506369	111506803	+	0	NA	Intergenic	L1ME1|LINE|L1	-35611	NR_134917	10225		NM_005816	ENSG00000153283	CD96	TACTILE	CD96 molecule	protein-coding
KCNIP4	chr4	22033671	22033888	+	0	NA	Intergenic	MLT1G|LTR|ERVL-MaLR	-85028	NM_147182	80333		NM_025221	ENSG00000185774	KCNIP4	CALP|KCHIP4	potassium voltage-gated channel interacting protein 4	protein-coding
KLHL34	chrX	21653587	21654080	+	0	NA	TTS (NM_153270)	TTS (NM_153270)	4497	NM_153270	257240		NM_153270	ENSG00000185915	KLHL34	-	kelch like family member 34	protein-coding
LINC00702	chr10	4185944	4187325	+	0	NA	Intergenic	Intergenic	57278	NR_108040	100652988		NR_108040		LINC00702	-	long intergenic non-protein coding RNA 702	ncRNA
BRINP3-2	chr1	190094379	190094897	+	0	NA	Intergenic	Intergenic	381372	NM_001317188	339479		NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
LINC02226	chr5	8368225	8368670	+	0	NA	intron (NR_039984, intron 3 of 5)	L1MEc|LINE|L1	89117	NR_039984	729506		NR_039984	ENSG00000245729	LINC02226	-	long intergenic non-protein coding RNA 2226	ncRNA
LINC02997-2	chr5	67805864	67806506	+	0	NA	Intergenic	Intergenic	12972	NR_130779	101928858		NR_130779	ENSG00000249364	LINC02997	-	long intergenic non-protein coding RNA 2997	ncRNA
LINC02149	chr5	15146801	15147222	+	0	NA	Intergenic	L1MA5A|LINE|L1	119549	NR_109944	101929454		NR_109944		LINC02149	-	long intergenic non-protein coding RNA 2149	ncRNA
GABRG2	chr5	162603452	162604163	+	0	NA	Intergenic	L1MB8|LINE|L1	536034	NM_198904	2566		NM_000816	ENSG00000113327	GABRG2	CAE2|DEE74|ECA2|EIEE74|FEB8|GEFSP3	gamma-aminobutyric acid type A receptor subunit gamma2	protein-coding
FER1L6-AS2	chr8	124126180	124126922	+	0	NA	intron (NR_103547, intron 1 of 4)	intron (NR_103547, intron 1 of 4)	44971	NR_103547	157376		NM_182525	ENSG00000253868	FER1L6-AS2	C8orf78	FER1L6 antisense RNA 2	ncRNA
SNORA33	chr6	132932779	132933559	+	0	NA	Intergenic	Intergenic	115950	NR_002436	594839		NR_002436	ENSG00000200534	SNORA33	ACA33	small nucleolar RNA, H/ACA box 33	snoRNA
ATP6V1G3	chr1	198567810	198568594	+	0	NA	Intergenic	L1PA13|LINE|L1	-27257	NM_001320218	127124		NM_133262	ENSG00000151418	ATP6V1G3	ATP6G3|Vma10	ATPase H+ transporting V1 subunit G3	protein-coding
MIR4743	chr18	48740667	48741235	+	0	NA	intron (NM_014772, intron 7 of 11)	MIR|SINE|MIR	70351	NR_039897	100616366		NR_039897	ENSG00000266276	MIR4743	-	microRNA 4743	ncRNA
KIZ-AS1	chr20	21232689	21233132	+	0	NA	intron (NM_001276389, intron 9 of 10)	intron (NM_001276389, intron 9 of 10)	-14621	NR_109956	101929591		NR_109956	ENSG00000232712	KIZ-AS1	-	KIZ antisense RNA 1	ncRNA
LPAR1-2	chr9	111056522	111056979	+	0	NA	Intergenic	Intergenic	-17752	NM_001351399	1902		NM_001401	ENSG00000198121	LPAR1	EDG2|Gpcr26|LPA1|Mrec1.3|VZG1|edg-2|rec.1.3|vzg-1	lysophosphatidic acid receptor 1	protein-coding
DMAC1-3	chr9	7606801	7607208	+	0	NA	Intergenic	MIR|SINE|MIR	192774	NM_001318058	90871		NM_033428	ENSG00000137038	DMAC1	C9orf123|TMEM261	distal membrane arm assembly component 1	protein-coding
ZNF860	chr3	31889184	31889660	+	0	NA	intron (NM_001174060, intron 1 of 10)	L1MA5A|LINE|L1	-92328	NM_001137674	344787		NM_001137674	ENSG00000197385	ZNF860	-	zinc finger protein 860	protein-coding
MTRNR2L9	chr6	61622299	61623186	+	0	NA	intron (NR_146870, intron 13 of 15)	ERV3-16A3_I-int|LTR|ERVL	48612	NM_001190706	100463487		NM_001190706		MTRNR2L9	HN9	MT-RNR2 like 9 (pseudogene)	pseudo
TBC1D9	chr4	140819739	140819954	+	0	NA	Intergenic	Intergenic	-63461	NM_015130	23158		NM_015130	ENSG00000109436	TBC1D9	GRAMD9|MDR1	TBC1 domain family member 9	protein-coding
RIT2	chr18	42887509	42888959	+	0	NA	intron (NM_002930, intron 4 of 4)	L1MC1|LINE|L1	227451	NM_002930	6014		NM_002930	ENSG00000152214	RIT2	RIBA|RIN|ROC2	Ras like without CAAX 2	protein-coding
MIR2054-2	chr4	126568971	126569711	+	0	NA	Intergenic	Intergenic	1062082	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
LINC00924	chr15	95394984	95395284	+	0	NA	Intergenic	Intergenic	-37959	NR_027133	145820		NR_027132	ENSG00000259134	LINC00924	-	long intergenic non-protein coding RNA 924	ncRNA
KATNIP	chr16	27582822	27583188	+	0	NA	intron (NM_015202, intron 2 of 27)	intron (NM_015202, intron 2 of 27)	32861	NM_015202	23247		NM_015202	ENSG00000047578	KATNIP	JBTS26|KIAA0556	katanin interacting protein	protein-coding
LINC01846	chr5	98042326	98042706	+	0	NA	Intergenic	Intergenic	118723	NR_146477	105379098		NR_146477	ENSG00000248901	LINC01846	-	long intergenic non-protein coding RNA 1846	ncRNA
CEP43	chr6	167049410	167049865	+	0	NA	3' UTR (NM_007045, exon 13 of 13)	3' UTR (NM_007045, exon 13 of 13)	50240	NM_194429	11116		NM_007045	ENSG00000213066	CEP43	FGFR1OP|FOP	centrosomal protein 43	protein-coding
LINC00824	chr8	128486197	128486901	+	0	NA	intron (NR_121672, intron 2 of 7)	intron (NR_121672, intron 2 of 7)	78130	NR_121672	101927774		NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
JMJD1C	chr10	63922297	63923261	+	0	NA	Intergenic	Intergenic	-400889	NM_001322258	221037		NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
FRMD3-2	chr9	83235634	83235842	+	0	NA	Intergenic	MER97b|DNA|hAT-Tip100	31530	NM_001244962	257019		NM_174938	ENSG00000172159	FRMD3	4.1O|EPB41L4O|EPB41LO|P410	FERM domain containing 3	protein-coding
PARD3B-2	chr2	204753773	204754128	+	0	NA	intron (NM_205863, intron 2 of 21)	intron (NM_205863, intron 2 of 21)	208475	NM_001302769	117583		NM_057177	ENSG00000116117	PARD3B	ALS2CR19|PAR3B|PAR3L|PAR3beta	par-3 family cell polarity regulator beta	protein-coding
COG7	chr16	23463109	23463376	+	0	NA	TTS (NM_015044)	TTS (NM_015044)	-10053	NM_153603	91949		NM_153603	ENSG00000168434	COG7	CDG2E	component of oligomeric golgi complex 7	protein-coding
LINC00583	chr9	13900227	13900949	+	0	NA	Intergenic	Eulor6A|DNA?|DNA?	-27383	NR_038194	100113404		NR_038194	ENSG00000205636	LINC00583	C9orf146	long intergenic non-protein coding RNA 583	ncRNA
PDE7B-AS1	chr6	136036720	136037444	+	0	NA	intron (NM_018945, intron 2 of 12)	intron (NM_018945, intron 2 of 12)	35745	NR_149042	644135		NR_149042	ENSG00000237596	PDE7B-AS1	-	PDE7B antisense RNA 1	ncRNA
LINC02024-2	chr3	117447993	117448631	+	0	NA	Intergenic	L2a|LINE|L2	242613	NR_146652	105374057		NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
PARD3	chr10	34613453	34613804	+	0	NA	intron (NM_019619, intron 2 of 24)	intron (NM_019619, intron 2 of 24)	201668	NM_001184787	56288		NM_019619	ENSG00000148498	PARD3	ASIP|Baz|PAR3|PAR3alpha|PARD-3|PARD3A|PPP1R118|SE2-5L16|SE2-5LT1|SE2-5T2	par-3 family cell polarity regulator	protein-coding
MIR302F	chr18	29250720	29251068	+	0	NA	Intergenic	Intergenic	-1048016	NR_031684	100302131		NR_031684	ENSG00000283218	MIR302F	MIRN302F|hsa-mir-302f	microRNA 302f	ncRNA
SNORD156	chr6	74608052	74608746	+	0	NA	intron (NR_110856, intron 2 of 3)	L1PA13|LINE|L1	520383	NR_145788	109623475		NR_145788		SNORD156	-	small nucleolar RNA, C/D box 156	snoRNA
SYNDIG1	chr20	24648560	24648761	+	0	NA	intron (NM_024893, intron 3 of 3)	intron (NM_024893, intron 3 of 3)	178699	NR_147606	79953		NM_024893	ENSG00000101463	SYNDIG1	C20orf39|DSPC2|IFITMD5|TMEM90B	synapse differentiation inducing 1	protein-coding
LOC730338-2	chr7	46728455	46728764	+	0	NA	Intergenic	L1PREC2|LINE|L1	-31487	NR_134575	730338		NR_134575	ENSG00000233539	LOC730338	-	uncharacterized LOC730338	ncRNA
LOC339975	chr4	187570793	187572466	+	0	NA	intron (NR_110436, intron 2 of 2)	intron (NR_110436, intron 2 of 2)	-66016	NR_038931	339975		NR_038931		LOC339975	-	uncharacterized LOC339975	ncRNA
THEMIS	chr6	127900823	127901543	+	0	NA	promoter-TSS (NM_001164685)	promoter-TSS (NM_001164685)	-102	NM_001010923	387357		NM_001010923	ENSG00000172673	THEMIS	C6orf190|C6orf207|GASP|SPOT|THEMIS1|TSEPA	thymocyte selection associated	protein-coding
-3	chrUn_KI270435v1	64957	65395	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
TGFB3	chr14	75848153	75848978	+	0	NA	intron (NM_015072, intron 28 of 31)	intron (NM_015072, intron 28 of 31)	133430	NM_001329938	7043		NM_003239	ENSG00000119699	TGFB3	ARVD|ARVD1|LDS5|RNHF|TGF-beta3	transforming growth factor beta 3	protein-coding
MIR302F-2	chr18	30611090	30611520	+	0	NA	Intergenic	L1ME1|LINE|L1	312395	NR_031684	100302131		NR_031684	ENSG00000283218	MIR302F	MIRN302F|hsa-mir-302f	microRNA 302f	ncRNA
MIR2054	chr4	125441829	125442188	+	0	NA	intron (NM_024582, intron 8 of 17)	MER58A|DNA|hAT-Charlie	-65251	NR_031746	100302267		NR_031746	ENSG00000283550	MIR2054	hsa-mir-2054	microRNA 2054	ncRNA
COL11A1	chr1	103026004	103026519	+	0	NA	exon (NM_001854, exon 6 of 67)	exon (NM_001854, exon 6 of 67)	82235	NM_001190709	1301		NM_001854	ENSG00000060718	COL11A1	CO11A1|COLL6|DFNA37|STL2	collagen type XI alpha 1 chain	protein-coding
LINC02077	chr3	78337617	78338258	+	0	NA	Intergenic	Intergenic	-288974	NR_146636	105377172		NR_146636		LINC02077	-	long intergenic non-protein coding RNA 2077	ncRNA
LINC01667	chr21	9777975	9778908	+	0	NA	Intergenic	Intergenic	42620	NR_038377	441058		NM_001004347		LINC01667	-	long intergenic non-protein coding RNA 1667	ncRNA
LOC101928475	chr17	14918824	14920033	+	0	NA	Intergenic	Intergenic	-95377	NR_135638	101928475		NR_135638	ENSG00000232058	LOC101928475	-	uncharacterized LOC101928475	ncRNA
LINC01108	chr6	14749922	14750492	+	0	NA	Intergenic	Intergenic	-464753	NR_108097	102216342		NR_108096	ENSG00000226673	LINC01108	LncRNA-ES1	long intergenic non-protein coding RNA 1108	ncRNA
SEC61G-DT	chr7	54851407	54852333	+	0	NA	Intergenic	L1PA7|LINE|L1	92557	NR_110040	100996654		NR_110040	ENSG00000234707	SEC61G-DT	-	SEC61G divergent transcript	ncRNA
EPHB1	chr3	135231860	135232119	+	0	NA	intron (NM_004441, intron 12 of 15)	MER126|DNA|DNA	436729	NM_004441	2047		NM_004441	ENSG00000154928	EPHB1	ELK|EPHT2|Hek6|NET	EPH receptor B1	protein-coding
ZNF608-4	chr5	124670362	124671477	+	0	NA	intron (NM_001385621, intron 2 of 8)	intron (NM_001385621, intron 2 of 8)	75720	NM_020747	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
EPHA3-2	chr3	88918746	88919409	+	0	NA	Intergenic	Intergenic	-188544	NM_182644	2042		NM_005233	ENSG00000044524	EPHA3	EK4|ETK|ETK1|HEK|HEK4|TYRO4	EPH receptor A3	protein-coding
AK5	chr1	77265049	77265778	+	0	NA	Intergenic	Intergenic	-16606	NM_174858	26289		NM_012093	ENSG00000154027	AK5	AK6	adenylate kinase 5	protein-coding
UBBP4	chr17	22242471	22242753	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	39617	NR_144546	23666		NR_144546	ENSG00000290919	UBBP4	-	ubiquitin B pseudogene 4	pseudo
LOC101928882	chr3	180861776	180862184	+	0	NA	intron (NR_109986, intron 1 of 13)	L1PA16|LINE|L1	8198	NR_109986	101928882		NR_109986	ENSG00000285336	LOC101928882	-	uncharacterized LOC101928882	ncRNA
PLCB1-IT1	chr20	8528144	8528592	+	0	NA	intron (NM_015192, intron 3 of 31)	L1ME2|LINE|L1	279664	NR_046809	100874337		NR_046809	ENSG00000225479	PLCB1-IT1	-	PLCB1 intronic transcript 1	ncRNA
CCDC59-2	chr12	82182666	82182962	+	0	NA	Intergenic	Intergenic	175573	NM_014167	29080		NM_014167	ENSG00000133773	CCDC59	BR22|HSPC128|TAP26	coiled-coil domain containing 59	protein-coding
LINC01761	chr1	95430516	95430875	+	0	NA	Intergenic	Intergenic	-44042	NR_033966	440594		NR_033966	ENSG00000233907	LINC01761	-	long intergenic non-protein coding RNA 1761	ncRNA
MIR1263	chr3	164418039	164418982	+	0	NA	Intergenic	L1M6|LINE|L1	-246954	NR_031665	100302148		NR_031665	ENSG00000221251	MIR1263	MIRN1263|hsa-mir-1263	microRNA 1263	ncRNA
PRDM5	chr4	120869341	120870335	+	0	NA	intron (NM_001379104, intron 2 of 15)	intron (NM_001379104, intron 2 of 15)	52888	NM_001379104	11107		NM_018699	ENSG00000138738	PRDM5	BCS2|PFM2	PR/SET domain 5	protein-coding
LOC105370802	chr15	45802173	45803001	+	0	NA	intron (NR_135680, intron 1 of 4)	intron (NR_135680, intron 1 of 4)	97392	NR_135680	105370802		NR_135680	ENSG00000259200	LOC105370802	-	uncharacterized LOC105370802	ncRNA
LINC00648	chr14	48586166	48586398	+	0	NA	Intergenic	Intergenic	-791268	NR_039996	100506433		NR_039996	ENSG00000259129	LINC00648	-	long intergenic non-protein coding RNA 648	ncRNA
FAF1	chr1	50699867	50700503	+	0	NA	intron (NM_007051, intron 7 of 18)	intron (NM_007051, intron 7 of 18)	260082	NM_007051	11124		NM_007051	ENSG00000185104	FAF1	CGI-03|HFAF1s|UBXD12|UBXN3A|hFAF1	Fas associated factor 1	protein-coding
APBB2	chr4	41169218	41169662	+	0	NA	intron (NM_173075, intron 1 of 16)	intron (NM_173075, intron 1 of 16)	45102	NM_004307	323		NM_004307	ENSG00000163697	APBB2	FE65L|FE65L1	amyloid beta precursor protein binding family B member 2	protein-coding
LNCSRLR-2	chr3	145719122	145719533	+	0	NA	Intergenic	Intergenic	349858	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
SPRY1-2	chr4	123186629	123187319	+	0	NA	intron (NM_001345856, intron 14 of 15)	intron (NM_001345856, intron 14 of 15)	-209821	NM_001375410	10252		NM_005841	ENSG00000164056	SPRY1	hSPRY1	sprouty RTK signaling antagonist 1	protein-coding
CFDP1	chr16	75362863	75363112	+	0	NA	intron (NM_006324, intron 5 of 6)	intron (NM_006324, intron 5 of 6)	70516	NM_006324	10428		NM_006324	ENSG00000153774	CFDP1	BCNT|BUCENTAUR|CENP-29|CP27|SWC5|Yeti|p97	craniofacial development protein 1	protein-coding
MIR4451	chr4	85600174	85600722	+	0	NA	intron (NM_001025616, intron 2 of 9)	L2c|LINE|L2	-122020	NR_039656	100616349		NR_039656	ENSG00000266421	MIR4451	mir-4451	microRNA 4451	ncRNA
ATP6AP2	chrX	40455899	40456417	+	0	NA	Intergenic	MIRb|SINE|MIR	-124812	NM_005765	10159		NM_005765	ENSG00000182220	ATP6AP2	APT6M8-9|ATP6IP2|ATP6M8-9|CDG2R|ELDF10|HT028|M8-9|MRXE|MRXSH|MSTP009|PRR|RENR|XMRE|XPDS	ATPase H+ transporting accessory protein 2	protein-coding
PCDH17	chr13	57743252	57743612	+	0	NA	Intergenic	Charlie29a|DNA|hAT-Charlie	111688	NM_001040429	27253		NM_014459	ENSG00000118946	PCDH17	PCDH68|PCH68	protocadherin 17	protein-coding
FAT1	chr4	186854400	186855533	+	0	NA	Intergenic	(TCTTTC)n|Simple_repeat|Simple_repeat	-131110	NM_005245	2195		NM_005245	ENSG00000083857	FAT1	CDHF7|CDHR8|FAT|ME5|hFat1	FAT atypical cadherin 1	protein-coding
MIR3692	chr6	157605600	157605950	+	0	NA	intron (NM_024630, intron 3 of 8)	intron (NM_024630, intron 3 of 8)	76643	NR_037463	100500899		NR_037463	ENSG00000266617	MIR3692	-	microRNA 3692	ncRNA
HS3ST1-2	chr4	11505735	11506339	+	0	NA	Intergenic	MIRb|SINE|MIR	-77143	NM_005114	9957		NM_005114	ENSG00000002587	HS3ST1	3OST|3OST1	heparan sulfate-glucosamine 3-sulfotransferase 1	protein-coding
SOX5	chr12	23757607	23757919	+	0	NA	intron (NM_152989, intron 6 of 17)	intron (NM_152989, intron 6 of 17)	-173177	NM_178010	6660		NM_006940	ENSG00000134532	SOX5	L-SOX5|L-SOX5B|L-SOX5F|LAMSHF	SRY-box transcription factor 5	protein-coding
PDE8A	chr15	84967438	84967711	+	0	NA	intron (NM_001321721, intron 16 of 16)	intron (NM_001321721, intron 16 of 16)	-12893	NM_001243137	5151		NM_002605	ENSG00000073417	PDE8A	HsT19550	phosphodiesterase 8A	protein-coding
LINC01378	chr4	117577841	117578216	+	0	NA	intron (NR_125757, intron 2 of 3)	intron (NR_125757, intron 2 of 3)	149630	NR_125757	103689918		NR_125757		LINC01378	-	long intergenic non-protein coding RNA 1378	ncRNA
LINC01031-4	chr1	193425850	193426794	+	0	NA	Intergenic	MLT1G|LTR|ERVL-MaLR	121577	NR_125789	101929184		NR_125789	ENSG00000232077	LINC01031	TCONS_00000361	long intergenic non-protein coding RNA 1031	ncRNA
PEX14	chr1	10606996	10607694	+	0	NA	intron (NM_004565, intron 4 of 8)	L1ME2|LINE|L1	132395	NM_004565	5195		NM_004565	ENSG00000142655	PEX14	NAPP2|PBD13A|Pex14p|dJ734G22.2	peroxisomal biogenesis factor 14	protein-coding
ENOX1-AS2	chr13	43383590	43384048	+	0	NA	intron (NM_001347970, intron 4 of 15)	intron (NM_001347970, intron 4 of 15)	-65033	NR_120399	100874130		NR_120399		ENOX1-AS2	-	ENOX1 antisense RNA 2	ncRNA
TRPC7-AS2	chr5	136229881	136230833	+	0	NA	intron (NR_133682, intron 1 of 3)	L1ME4b|LINE|L1	3702	NR_133682	106478968		NR_133682	ENSG00000250947	TRPC7-AS2	CTB-28J9.2	TRPC7 antisense RNA 2	ncRNA
LOC101927394	chr3	8001424	8002029	+	0	NA	intron (NR_110131, intron 1 of 3)	intron (NR_110131, intron 1 of 3)	14581	NR_110131	101927394		NR_110131	ENSG00000227110	LOC101927394	-	uncharacterized LOC101927394	ncRNA
LNCSRLR	chr3	145643551	145644253	+	0	NA	Intergenic	Intergenic	425283	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
DIPK2A-2	chr3	144119071	144119923	+	0	NA	Intergenic	Intergenic	146416	NM_001134470	205428		NM_173552	ENSG00000181744	DIPK2A	C3orf58|DIA1|GoPro49|HASF	divergent protein kinase domain 2A	protein-coding
LIPC-AS1	chr15	58496120	58496487	+	0	NA	intron (NR_120338, intron 1 of 2)	MER20|DNA|hAT-Charlie	2432	NR_120338	101928694		NR_120338	ENSG00000259293	LIPC-AS1	-	LIPC antisense RNA 1	ncRNA
MIR4451-2	chr4	85702720	85703568	+	0	NA	intron (NM_001025616, intron 2 of 9)	intron (NM_001025616, intron 2 of 9)	-19324	NR_039656	100616349		NR_039656	ENSG00000266421	MIR4451	mir-4451	microRNA 4451	ncRNA
LINC02360	chr4	11716340	11716567	+	0	NA	Intergenic	L1MA6|LINE|L1	53015	NR_146995	105374484		NR_146995	ENSG00000248300	LINC02360	-	long intergenic non-protein coding RNA 2360	ncRNA
LPP-3	chr3	188138133	188138790	+	0	NA	Intergenic	L1M6|LINE|L1	-14560	NM_001375456	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
LYPLAL1-AS1	chr1	219555233	219556279	+	0	NA	intron (NR_135822, intron 1 of 3)	intron (NR_135822, intron 1 of 3)	1568	NR_135822	102723886		NR_135822		LYPLAL1-AS1	-	LYPLAL1 antisense RNA 1	ncRNA
LINC02421	chr12	67730836	67731721	+	0	NA	Intergenic	Intergenic	-1803	NR_110063	101927901		NR_110063	ENSG00000255970	LINC02421	-	long intergenic non-protein coding RNA 2421	ncRNA
ADCY2	chr5	7422484	7423135	+	0	NA	intron (NM_020546, intron 2 of 24)	intron (NM_020546, intron 2 of 24)	26671	NM_020546	108		NM_020546	ENSG00000078295	ADCY2	AC2|HBAC2	adenylate cyclase 2	protein-coding
ZNF177	chr19	9370653	9371140	+	0	NA	intron (NM_001172650, intron 6 of 11)	L1MC5a|LINE|L1	7883	NM_003451	7730		NM_003451	ENSG00000188629	ZNF177	PIGX	zinc finger protein 177	protein-coding
LOC101929577	chr4	105998477	105998967	+	0	NA	Intergenic	MIRb|SINE|MIR	23756	NR_125928	101929577		NR_125928	ENSG00000249635	LOC101929577	-	uncharacterized LOC101929577	ncRNA
MIR4500	chr13	87604329	87604984	+	0	NA	intron (NR_033829, intron 1 of 5)	L1PA8|LINE|L1	14084	NR_039722	100616182		NR_039722	ENSG00000266052	MIR4500	-	microRNA 4500	ncRNA
