PeakID (cmd=annotatePeaks.pl results/tmp hg38 -annStats results/merged.p-3.anno.stats -go results/results/merged.p-3.go)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
C16_Up_LUT_NA-701	chr8	63464210	63464679	+	0	NA	Intergenic	Intergenic	-1405	NR_125825	102724612		NR_125825	ENSG00000253894	LOC102724612	-	uncharacterized LOC102724612	ncRNA
C16_Up_LUT_Up-20	chr1	221169307	221169758	+	0	NA	Intergenic	L2|LINE|L2	166764	NR_024236	400804		NR_024236	ENSG00000234754	LINC02817	C1orf140	long intergenic non-protein coding RNA 2817	ncRNA
C16_NA_LUT_Up-1406	chr7	51881475	51881722	+	0	NA	Intergenic	Intergenic	-488342	NR_157843	107986794		NR_157843		LOC107986794	-	uncharacterized LOC107986794	ncRNA
C16_NA_LUT_Up-285	chr12	92000351	92001363	+	0	NA	intron (NR_132341, intron 1 of 4)	L1MA5A|LINE|L1	140856	NR_046159	256021		NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
C16_NA_LUT_Up-1198	chr5	85665757	85666524	+	0	NA	Intergenic	Tigger2|DNA|TcMar-Tigger	-616304	NR_003719	285622		NR_003719		NBPF22P	-	NBPF member 22, pseudogene	pseudo
C16_NA_LUT_Up-887	chr4	100022863	100023439	+	0	NA	intron (NR_125923, intron 1 of 3)	MLT1F2|LTR|ERVL-MaLR	72657	NR_125923	256880		NR_002799		H2AZ1-DT	-	H2AZ1 divergent transcript	ncRNA
C16_NA_LUT_Up-1426	chr7	8065213	8065924	+	0	NA	intron (NM_138426, intron 5 of 7)	L1PA15|LINE|L1	96772	NM_138426	113263		NM_138426	ENSG00000106415	GLCCI1	FAM117C|GCTR|GIG18|TSSN1	glucocorticoid induced 1	protein-coding
C16_Up_LUT_Up-192	chr22	26295523	26296034	+	0	NA	intron (NM_001184775, intron 3 of 15)	L2c|LINE|L2	126304	NM_001184775	23544		NM_021115	ENSG00000100095	SEZ6L	SEZ6L1	seizure related 6 homolog like	protein-coding
C16_NA_LUT_Up-886	chr3	95171976	95173018	+	0	NA	Intergenic	Intergenic	234234	NR_015400	255025		NR_015400	ENSG00000239589	LINC00879	-	long intergenic non-protein coding RNA 879	ncRNA
C16_NA_LUT_Up-1201	chr5	88045282	88046864	+	0	NA	Intergenic	Eulor9C|DNA|DNA	222772	NM_153354	153396		NM_153354	ENSG00000164180	TMEM161B	FLB3342|PRO1313	transmembrane protein 161B	protein-coding
C16_NA_LUT_Up-784	chr3	145657073	145657495	+	0	NA	Intergenic	L1M1|LINE|L1	411901	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
C16_Up_LUT_NA-164	chr13	110815781	110816308	+	0	NA	intron (NR_158538, intron 1 of 1)	intron (NR_158538, intron 1 of 1)	2339	NR_158538	105370362		NR_158538		LOC105370362	-	uncharacterized LOC105370362	ncRNA
C16_NA_LUT_Up-938	chr4	137599715	137600047	+	0	NA	intron (NR_146553, intron 1 of 1)	intron (NR_146553, intron 1 of 1)	54150	NR_146553	105377443		NR_146553	ENSG00000251632	LINC02172	-	long intergenic non-protein coding RNA 2172	ncRNA
C16_NA_LUT_Up-1221	chr6	10480201	10480779	+	0	NA	Intergenic	L1PA11|LINE|L1	40773	NR_049872	100846998		NR_049872	ENSG00000263705	MIR5689	-	microRNA 5689	ncRNA
C16_Up_LUT_Up-190	chr22	16743425	16744277	+	0	NA	Intergenic	L1PA11|LINE|L1	4587	NR_134584	101929350		NR_134584	ENSG00000235343	LINC01665	-	long intergenic non-protein coding RNA 1665	ncRNA
C16_NA_LUT_Up-364	chr14	33706097	33706456	+	0	NA	intron (NM_173159, intron 6 of 11)	intron (NM_173159, intron 6 of 11)	-2661	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
C16_Up_LUT_NA-362	chr21	35637234	35638017	+	0	NA	Intergenic	Intergenic	-56861	NR_073512	100506403		NR_073512	ENSG00000159216	LOC100506403	-	uncharacterized LOC100506403	ncRNA
C16_Up_LUT_NA-780	chrX	24943810	24944851	+	0	NA	intron (NR_165483, intron 35 of 35)	intron (NR_165483, intron 35 of 35)	71635	NM_139058	170302		NM_139058	ENSG00000004848	ARX	CT121|EIEE1|ISSX|MRX29|MRX32|MRX33|MRX36|MRX38|MRX43|MRX54|MRX76|MRX87|MRXS1|PRTS	aristaless related homeobox	protein-coding
C16_NA_LUT_Up-913	chr4	117577840	117578216	+	0	NA	intron (NR_125757, intron 2 of 3)	intron (NR_125757, intron 2 of 3)	149630	NR_125757	103689918		NR_125757		LINC01378	-	long intergenic non-protein coding RNA 1378	ncRNA
C16_NA_LUT_Up-162	chr11	115885439	115886385	+	0	NA	Intergenic	Intergenic	-125712	NR_034148	283143		NR_034148		LINC00900	-	long intergenic non-protein coding RNA 900	ncRNA
C16_NA_LUT_Up-1413	chr7	69827599	69828038	+	0	NA	intron (NM_001127232, intron 1 of 4)	intron (NM_001127232, intron 1 of 4)	229343	NM_015570	26053		NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
C16_Up_LUT_NA-782	chrX	43821980	43822595	+	0	NA	intron (NM_000898, intron 3 of 14)	intron (NM_000898, intron 3 of 14)	60163	NM_000898	4129		NM_000898	ENSG00000069535	MAOB	-	monoamine oxidase B	protein-coding
C16_NA_LUT_Up-668	chr2	5819067	5819454	+	0	NA	Intergenic	Intergenic	-6664	NR_146954	105373400		NR_146954	ENSG00000237266	LINC01810	-	long intergenic non-protein coding RNA 1810	ncRNA
C16_Up_LUT_Up-394	chr8	31620594	31621119	+	0	NA	Intergenic	MIRb|SINE|MIR	-18896	NM_013962	3084		NM_004495	ENSG00000157168	NRG1	ARIA|GGF|GGF2|HGL|HRG|HRG1|HRGA|MST131|MSTP131|NDF|NRG1-IT2|SMDF	neuregulin 1	protein-coding
C16_Up_LUT_NA-360	chr21	27893663	27894183	+	0	NA	Intergenic	Intergenic	-119440	NR_027246	246705		NM_145180	ENSG00000178457	LINC00314	C21orf94|NCRNA00314	long intergenic non-protein coding RNA 314	ncRNA
C16_NA_LUT_Up-1146	chr5	26610646	26610981	+	0	NA	Intergenic	Intergenic	427773	NM_016279	1007		NM_016279	ENSG00000113100	CDH9	-	cadherin 9	protein-coding
C16_Up_LUT_Up-337	chr6	4168963	4169658	+	0	NA	Intergenic	Intergenic	20719	NR_125874	102724096		NR_125874		LOC102724096	-	uncharacterized LOC102724096	ncRNA
C16_NA_LUT_Up-160	chr11	11192365	11193192	+	0	NA	Intergenic	L1PA13|LINE|L1	160472	NM_001256686	283106		NM_001256686	ENSG00000254598	CSNK2A3	CSNK2A1P	casein kinase 2 alpha 3	protein-coding
C16_Up_LUT_Up-176	chr20	26294995	26295425	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-85977	NR_040095	284801		NR_040095	ENSG00000227195	MIR663AHG	-	MIR663A host gene	ncRNA
C16_NA_LUT_Up-987	chr4	26508242	26508808	+	0	NA	Intergenic	L1MD2|LINE|L1	-18041	NM_000730	886		NM_000730	ENSG00000163394	CCKAR	CCK-1R|CCK-A|CCK1-R|CCK1R|CCKRA	cholecystokinin A receptor	protein-coding
C16_NA_LUT_Up-1316	chr6	64299104	64299564	+	0	NA	intron (NM_001292009, intron 30 of 43)	LTR22B1|LTR|ERVK	492498	NR_157848	112935969		NR_157848	ENSG00000236345	SCAT8	EYS-AS1	S-phase cancer associated transcript 8	ncRNA
C16_Up_LUT_NA-418	chr3	30352972	30353235	+	0	NA	Intergenic	LTR16D|LTR|ERVL	-165765	NR_147054	101928015		NR_147054	ENSG00000227260	LINC01985	-	long intergenic non-protein coding RNA 1985	ncRNA
C16_Up_LUT_NA-56	chr10	24008652	24009191	+	0	NA	intron (NM_001098500, intron 2 of 18)	intron (NM_001098500, intron 2 of 18)	-199870	NM_001282767	56243		NM_019590	ENSG00000120549	KIAA1217	ETL4|SKT	KIAA1217	protein-coding
C16_NA_LUT_Up-798	chr3	159796751	159797127	+	0	NA	intron (NM_014575, intron 2 of 7)	intron (NM_014575, intron 2 of 7)	-28327	NR_121669	100874433		NR_121669		IQCJ-SCHIP1-AS1	uaz98	IQCJ-SCHIP1 readthrough antisense RNA 1	ncRNA
C16_NA_LUT_Up-1668	chrX	73490684	73491036	+	0	NA	Intergenic	L1PA11|LINE|L1	43606	NM_005193	1046		NM_005193	ENSG00000131264	CDX4	-	caudal type homeobox 4	protein-coding
C16_NA_LUT_Up-1218	chr6	101434812	101435379	+	0	NA	intron (NM_021956, intron 2 of 16)	intron (NM_021956, intron 2 of 16)	36110	NM_001166247	2898		NM_021956	ENSG00000164418	GRIK2	EAA4|GLR6|GLUK6|GLUR6|GluK2|MRT6|NEDLAS	glutamate ionotropic receptor kainate type subunit 2	protein-coding
C16_NA_LUT_Up-1325	chr6	81792755	81793427	+	0	NA	Intergenic	Intergenic	21101	NR_126363	101928770		NR_126363	ENSG00000224995	LINC01526	Lnc-FAM46A-1	long intergenic non-protein coding RNA 1526	ncRNA
C16_Up_LUT_Up-388	chr8	139321600	139322362	+	0	NA	Intergenic	Intergenic	381142	NM_001282534	51305		NM_001282534	ENSG00000169427	KCNK9	BIBARS|K2p9.1|KT3.2|TASK-3|TASK3|TASK32	potassium two pore domain channel subfamily K member 9	protein-coding
C16_Up_LUT_Up-202	chr3	145364840	145365449	+	0	NA	Intergenic	L1PREC2|LINE|L1	704041	NR_146297	109729161		NR_146297	ENSG00000240032	LNCSRLR	lncRNA-SRLR	lncRNA sorafenib resistance in renal cell carcinoma associated	ncRNA
C16_NA_LUT_Up-1412	chr7	69654026	69654643	+	0	NA	intron (NM_001127232, intron 1 of 4)	intron (NM_001127232, intron 1 of 4)	55859	NM_015570	26053		NM_015570	ENSG00000158321	AUTS2	FBRSL2|MRD26	activator of transcription and developmental regulator AUTS2	protein-coding
C16_Up_LUT_NA-433	chr3	84476631	84477525	+	0	NA	Intergenic	Intergenic	392497	NR_033860	440970		NR_033860	ENSG00000242641	LINC00971	-	long intergenic non-protein coding RNA 971	ncRNA
C16_NA_LUT_Up-406	chr14	82313371	82314421	+	0	NA	Intergenic	Intergenic	-328736	NR_146650	101928599		NR_146650	ENSG00000258743	LINC02301	-	long intergenic non-protein coding RNA 2301	ncRNA
C16_NA_LUT_Up-1305	chr6	53785161	53785803	+	0	NA	Intergenic	L1MA5A|LINE|L1	-9523	NM_018214	55227		NM_018214	ENSG00000137269	LRRC1	LANO|dJ523E19.1	leucine rich repeat containing 1	protein-coding
C16_Up_LUT_Up-200	chr3	120838574	120839609	+	0	NA	Intergenic	Intergenic	-2734	NR_135571	101926983		NR_135570	ENSG00000243593	LINC02049	-	long intergenic non-protein coding RNA 2049	ncRNA
C16_NA_LUT_Up-473	chr16	79107204	79107620	+	0	NA	intron (NM_016373, intron 8 of 8)	intron (NM_016373, intron 8 of 8)	493325	NM_001031804	4094		NM_005360	ENSG00000178573	MAF	AYGRP|CCA4|CTRCT21|c-MAF	MAF bZIP transcription factor	protein-coding
C16_NA_LUT_Up-1323	chr6	80316704	80317223	+	0	NA	intron (NM_000056, intron 9 of 10)	intron (NM_000056, intron 9 of 10)	210292	NM_183050	594		NM_000056	ENSG00000083123	BCKDHB	BCKDE1B|BCKDH E1-beta|E1B|MSUD1B|OVD1B	branched chain keto acid dehydrogenase E1 subunit beta	protein-coding
C16_Up_LUT_Up-19	chr1	219563718	219564530	+	0	NA	Intergenic	Intergenic	-6800	NR_135822	102723886		NR_135822		LYPLAL1-AS1	-	LYPLAL1 antisense RNA 1	ncRNA
C16_NA_LUT_Up-407	chr14	86430967	86431411	+	0	NA	Intergenic	Intergenic	-474589	NR_038445	283585		NR_038445	ENSG00000258804	LINC01148	-	long intergenic non-protein coding RNA 1148	ncRNA
C16_NA_LUT_Up-263	chr12	74339363	74340016	+	0	NA	Intergenic	Intergenic	-47058	NR_038300	100507377		NR_038300	ENSG00000251138	LINC02882	-	long intergenic non-protein coding RNA 2882	ncRNA
C16_NA_LUT_Up-813	chr3	169044125	169044942	+	0	NA	Intergenic	Intergenic	100990	NM_001366472	2122		NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
C16_NA_LUT_Up-1134	chr5	172628561	172628752	+	0	NA	Intergenic	L1ME3B|LINE|L1	-12607	NM_001308178	54492		NM_001142651	ENSG00000214357	NEURL1B	NEURL3|RNF67B|hNeur2|neur2	neuralized E3 ubiquitin protein ligase 1B	protein-coding
C16_NA_LUT_Up-1518	chr8	79830077	79830794	+	0	NA	intron (NR_110954, intron 2 of 5)	intron (NR_110954, intron 2 of 5)	41302	NR_110954	101927040		NR_110954	ENSG00000249328	LOC101927040	-	uncharacterized LOC101927040	ncRNA
C16_NA_LUT_Up-1303	chr6	47471942	47472279	+	0	NA	Intergenic	L1MA3|LINE|L1	-5679	NM_012120	23607		NM_012120	ENSG00000198087	CD2AP	CMS	CD2 associated protein	protein-coding
C16_Up_LUT_Up-293	chr5	125470411	125470904	+	0	NA	Intergenic	Intergenic	-22604	NR_109887	101927460		NR_109887	ENSG00000260192	LINC02240	-	long intergenic non-protein coding RNA 2240	ncRNA
C16_NA_LUT_Up-16	chr1	150609753	150610102	+	0	NA	Intergenic	Intergenic	19206	NM_207047	2029		NM_004436	ENSG00000143420	ENSA	ARPP-19e	endosulfine alpha	protein-coding
C16_Up_LUT_NA-609	chr6	53042279	53042733	+	0	NA	intron (NM_001375397, intron 1 of 13)	intron (NM_001375397, intron 1 of 13)	19318	NM_001375401	22858		NM_014920	ENSG00000112144	CILK1	ECO|EJM10|ICK|LCK2|MRK|hICK	ciliogenesis associated kinase 1	protein-coding
C16_NA_LUT_Up-838	chr3	188138132	188138790	+	0	NA	Intergenic	L1M6|LINE|L1	-14560	NM_001375455	4026		NM_005578	ENSG00000145012	LPP	-	LIM domain containing preferred translocation partner in lipoma	protein-coding
C16_Up_LUT_NA-36	chr1	48878285	48878878	+	0	NA	intron (NR_136623, intron 4 of 12)	L2b|LINE|L2	-101612	NM_001349793	79656		NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding
C16_NA_LUT_Up-1384	chr7	18714396	18714774	+	0	NA	intron (NM_001321868, intron 12 of 25)	L2b|LINE|L2	205315	NM_001204148	9734		NM_014707	ENSG00000048052	HDAC9	ARCND4|HD7|HD7b|HD9|HDAC|HDAC7|HDAC7B|HDAC9B|HDAC9FL|HDRP|MITR	histone deacetylase 9	protein-coding
C16_NA_LUT_Up-1158	chr5	45042301	45042605	+	0	NA	Intergenic	Intergenic	233506	NM_016640	10884		NM_016640	ENSG00000112996	MRPS30	MRP-S30|PAP|PDCD9|S30mt|mL65	mitochondrial ribosomal protein S30	protein-coding
C16_NA_LUT_Up-1649	chrX	28889515	28890249	+	0	NA	intron (NM_014271, intron 2 of 10)	intron (NM_014271, intron 2 of 10)	302436	NM_014271	11141		NM_014271	ENSG00000169306	IL1RAPL1	IL-1-RAPL-1|IL-1RAPL-1|IL1R8|IL1RAPL|IL1RAPL-1|MRX10|MRX21|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein like 1	protein-coding
C16_NA_LUT_Up-289	chr12	94638000	94638859	+	0	NA	intron (NM_020698, intron 1 of 3)	intron (NM_020698, intron 1 of 3)	12128	NM_020698	57458		NM_020698	ENSG00000057704	TMCC3	-	transmembrane and coiled-coil domain family 3	protein-coding
C16_NA_LUT_Up-448	chr15	89143761	89144190	+	0	NA	intron (NM_152924, intron 3 of 10)	L1MB5|LINE|L1	55519	NM_152924	11057		NM_007011	ENSG00000140526	ABHD2	HS1-2|LABH2|PHPS1-2	abhydrolase domain containing 2, acylglycerol lipase	protein-coding
C16_Up_LUT_NA-78	chr10	83997910	83998579	+	0	NA	Intergenic	Intergenic	-141265	NM_014394	27069		NM_014394	ENSG00000165678	GHITM	DERP2|HSPC282|MICS1|My021|PTD010|TMBIM5	growth hormone inducible transmembrane protein	protein-coding
C16_NA_LUT_Up-986	chr4	23922286	23923065	+	0	NA	intron (NR_148983, intron 2 of 15)	intron (NR_148983, intron 2 of 15)	-32628	NM_013261	10891		NM_013261	ENSG00000109819	PPARGC1A	LEM6|PGC-1(alpha)|PGC-1alpha|PGC-1v|PGC1|PGC1A|PPARGC1	PPARG coactivator 1 alpha	protein-coding
C16_Up_LUT_Up-281	chr4	95627742	95629296	+	0	NA	Intergenic	Intergenic	-79546	NM_003728	8633		NM_003728	ENSG00000182168	UNC5C	UNC5H3	unc-5 netrin receptor C	protein-coding
C16_NA_LUT_Down-12	chr14	105710583	105710776	+	0	NA	Intergenic	Intergenic	-37872	NR_046211	2003		NR_046211		ELK2AP	ELK2|ELK2.1|ELK2P1	ETS transcription factor ELK2A, pseudogene	pseudo
C16_NA_LUT_Up-744	chr22	44500536	44501062	+	0	NA	Intergenic	MER72|LTR|ERV1	-2566	NM_032287	84247		NM_032287	ENSG00000188636	RTL6	LDOC1L|Mar6|Mart6|SIRH3|dJ1033E15.2	retrotransposon Gag like 6	protein-coding
C16_Up_LUT_NA-215	chr16	65494219	65494648	+	0	NA	intron (NR_027755, intron 2 of 8)	L3|LINE|CR1	81867	NR_027755	283867		NM_001101346	ENSG00000261742	LINC00922	Lnc-LALC	long intergenic non-protein coding RNA 922	ncRNA
C16_Up_LUT_Up-61	chr12	30251454	30251972	+	0	NA	Intergenic	Intergenic	425531	NM_001190995	10526		NM_006390	ENSG00000133704	IPO8	RANBP8|VISS	importin 8	protein-coding
C16_Up_LUT_NA-558	chr5	3645746	3646064	+	0	NA	Intergenic	L1PA16|LINE|L1	50073	NM_024337	79192		NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
C16_NA_LUT_Up-1025	chr4	72365977	72366701	+	0	NA	intron (NM_014243, intron 4 of 21)	intron (NM_014243, intron 4 of 21)	202882	NM_014243	9508		NM_014243	ENSG00000156140	ADAMTS3	ADAMTS-4|HKLLS3	ADAM metallopeptidase with thrombospondin type 1 motif 3	protein-coding
C16_NA_LUT_Up-1464	chr8	121155323	121155888	+	0	NA	Intergenic	MER4B|LTR|ERV1	-343559	NM_021021	6641		NM_021021	ENSG00000172164	SNTB1	59-DAP|A1B|BSYN2|DAPA1B|SNT2|SNT2B1|TIP-43	syntrophin beta 1	protein-coding
C16_NA_LUT_Up-1200	chr5	86378957	86379796	+	0	NA	Intergenic	L1PB|LINE|L1	96932	NR_003719	285622		NR_003719		NBPF22P	-	NBPF member 22, pseudogene	pseudo
C16_Up_LUT_Up-232	chr4	124591547	124592838	+	0	NA	Intergenic	Intergenic	-33758	NR_110838	101927087		NR_110838	ENSG00000261083	LINC02516	-	long intergenic non-protein coding RNA 2516	ncRNA
C16_NA_LUT_Up-846	chr3	27085473	27086165	+	0	NA	Intergenic	L3|LINE|CR1	130704	NM_001304384	152110		NM_152534	ENSG00000163491	NEK10	CILD44	NIMA related kinase 10	protein-coding
C16_NA_LUT_Up-1005	chr4	4520955	4521507	+	0	NA	intron (NM_001346282, intron 1 of 10)	intron (NM_001346282, intron 1 of 10)	20817	NR_144414	53407		NM_016930	ENSG00000168818	STX18	Ufe1	syntaxin 18	protein-coding
C16_Up_LUT_NA-267	chr18	9808414	9808695	+	0	NA	intron (NM_006868, intron 3 of 6)	intron (NM_006868, intron 3 of 6)	-77419	NM_001098529	84203		NM_032243	ENSG00000168454	TXNDC2	SPTRX|SPTRX1	thioredoxin domain containing 2	protein-coding
C16_Up_LUT_NA-403	chr3	170520924	170521314	+	0	NA	intron (NM_020949, intron 2 of 7)	intron (NM_020949, intron 2 of 7)	53834	NR_135557	101928583		NR_135555	ENSG00000285051	SLC7A14-AS1	-	SLC7A14 antisense RNA 1	ncRNA
C16_NA_LUT_Up-436	chr15	63236922	63237479	+	0	NA	intron (NM_016530, intron 1 of 7)	L1MA3|LINE|L1	-40350	NM_001145646	83464		NM_031301	ENSG00000138613	APH1B	APH-1B|PRO1328|PSFL|TAAV688|aph-1beta	aph-1 homolog B, gamma-secretase subunit	protein-coding
C16_Up_LUT_NA-624	chr7	115135908	115136148	+	0	NA	intron (NR_126407, intron 2 of 4)	intron (NR_126407, intron 2 of 4)	57070	NR_120521	102724386		NR_120521	ENSG00000225535	LINC01393	-	long intergenic non-protein coding RNA 1393	ncRNA
C16_Up_LUT_NA-477	chr4	33172263	33172468	+	0	NA	Intergenic	MamRTE1|LINE|RTE-BovB	821327	NR_134672	101927363		NR_134672	ENSG00000251329	LINC02353	-	long intergenic non-protein coding RNA 2353	ncRNA
C16_Up_LUT_Up-230	chr4	118322811	118323217	+	0	NA	intron (NM_003619, intron 4 of 12)	MER58B|DNA|hAT-Charlie	29989	NM_003619	8492		NM_003619	ENSG00000164099	PRSS12	BSSP-3|BSSP3|MRT1	serine protease 12	protein-coding
C16_NA_LUT_Up-1220	chr6	103621702	103622493	+	0	NA	Intergenic	Intergenic	1237449	NM_001321083	57531		NM_020771	ENSG00000085382	HACE1	SPPRS	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	protein-coding
C16_NA_LUT_Up-1016	chr4	61918686	61919818	+	0	NA	intron (NM_001322246, intron 12 of 25)	intron (NM_001322246, intron 12 of 25)	242513	NR_110595	101927186		NR_110595		ADGRL3-AS1	LPHN3-AS1	ADGRL3 antisense RNA 1	ncRNA
C16_Up_LUT_Up-75	chr13	20843054	20843487	+	0	NA	intron (NM_001372061, intron 5 of 19)	intron (NM_001372061, intron 5 of 19)	59504	NM_001372061	64328		NM_022459	ENSG00000132953	XPO4	exp4	exportin 4	protein-coding
C16_Up_LUT_NA-740	chr9	2443562	2444146	+	0	NA	Intergenic	L1PA10|LINE|L1	-177933	NM_001018056	7436		NM_003383	ENSG00000147852	VLDLR	CAMRQ1|CARMQ1|CHRMQ1|VLDL-R|VLDLRCH	very low density lipoprotein receptor	protein-coding
C16_NA_LUT_Up-622	chr2	192885628	192885809	+	0	NA	Intergenic	Intergenic	135873	NR_002769	64002		NR_002769	ENSG00000227418	PCGEM1	LINC00071|NCRNA00071|PCAT9	PCGEM1 prostate-specific transcript	ncRNA
C16_Up_LUT_NA-251	chr18	50131641	50132039	+	0	NA	intron (NM_001080467, intron 1 of 39)	intron (NM_001080467, intron 1 of 39)	-5277	NR_036204	100422865		NR_036204	ENSG00000283343	MIR4320	-	microRNA 4320	ncRNA
C16_NA_LUT_Up-679	chr2	7891341	7891698	+	0	NA	intron (NR_110256, intron 3 of 5)	L1M4|LINE|L1	8136	NR_110256	101929551		NR_110256	ENSG00000226506	LOC101929551	-	uncharacterized LOC101929551	ncRNA
C16_NA_LUT_Up-128	chr10	33772956	33773385	+	0	NA	promoter-TSS (NR_038932)	promoter-TSS (NR_038932)	-490	NR_038932	100505583		NR_038932	ENSG00000261683	LINC00838	-	long intergenic non-protein coding RNA 838	ncRNA
C16_Up_LUT_NA-328	chr2	54856991	54858288	+	0	NA	intron (NM_001039753, intron 10 of 40)	L2a|LINE|L2	132627	NM_001039753	400954		NM_001039753	ENSG00000214595	EML6	-	EMAP like 6	protein-coding
C16_Up_LUT_NA-742	chr9	3004584	3004889	+	0	NA	Intergenic	Intergenic	-160641	NM_014878	9933		NM_014878	ENSG00000080608	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5	pumilio RNA binding family member 3	protein-coding
C16_NA_LUT_Up-620	chr2	192026064	192026948	+	0	NA	intron (NM_001305134, intron 5 of 9)	intron (NM_001305134, intron 5 of 9)	168427	NM_001305145	23671		NM_016192	ENSG00000144339	TMEFF2	CT120.2|HPP1|TENB2|TPEF|TR|TR-2	transmembrane protein with EGF like and two follistatin like domains 2	protein-coding
C16_Up_LUT_NA-639	chr7	42662851	42663464	+	0	NA	intron (NR_110833, intron 2 of 2)	L2|LINE|L2	43290	NR_110833	101928795		NR_110833	ENSG00000238284	LINC01448	-	long intergenic non-protein coding RNA 1448	ncRNA
C16_Up_LUT_Up-274	chr4	80255712	80256298	+	0	NA	Intergenic	Intergenic	-10583	NM_004464	2250		NM_004464	ENSG00000138675	FGF5	HBGF-5|Smag-82|TCMGLY	fibroblast growth factor 5	protein-coding
C16_NA_LUT_Up-712	chr20	53831851	53832270	+	0	NA	Intergenic	Intergenic	43649	NR_002189	391257		NR_002189		SUMO1P1	PIC1L|UBL2|UBL6	SUMO1 pseudogene 1	pseudo
C16_Up_LUT_NA-528	chr5	127076321	127077105	+	0	NA	Intergenic	Intergenic	-3221	NM_001164478	401207		NM_001164478	ENSG00000164241	C5orf63	YDR286C	chromosome 5 open reading frame 63	protein-coding
C16_NA_LUT_Up-1084	chr5	124801298	124801837	+	0	NA	Intergenic	Intergenic	-52743	NM_001385621	57507		NM_020747	ENSG00000168916	ZNF608	NY-REN-36	zinc finger protein 608	protein-coding
C16_NA_LUT_Up-1500	chr8	53625354	53625985	+	0	NA	Intergenic	L1MB3|LINE|L1	-101704	NR_149032	100507516		NR_149032	ENSG00000237807	LINC02984	-	long intergenic non-protein coding RNA 2984	ncRNA
C16_Up_LUT_NA-490	chr4	57501833	57502035	+	0	NA	Intergenic	Intergenic	76062	NR_125907	101928851		NR_125907	ENSG00000248505	LINC02380	-	long intergenic non-protein coding RNA 2380	ncRNA
C16_NA_LUT_Up-808	chr3	165796760	165797136	+	0	NA	intron (NR_137635, intron 1 of 2)	intron (NR_137635, intron 1 of 2)	40475	NR_137636	590		NM_000055	ENSG00000114200	BCHE	BCHED|CHE1|CHE2|E1	butyrylcholinesterase	protein-coding
C16_NA_LUT_Up-710	chr20	51225611	51225976	+	0	NA	Intergenic	MER51A|LTR|ERV1	-202686	NM_002237	3755		NM_002237	ENSG00000026559	KCNG1	K13|KCNG|KV6.1|kH2	potassium voltage-gated channel modifier subfamily G member 1	protein-coding
C16_Up_LUT_NA-654	chr7	99001349	99002079	+	0	NA	intron (NM_001375524, intron 67 of 72)	intron (NM_001375524, intron 67 of 72)	-11451	NR_110102	101927550		NR_110102		LOC101927550	-	uncharacterized LOC101927550	ncRNA
C16_NA_LUT_Up	chr1	100535832	100536160	+	0	NA	Intergenic	Intergenic	-2143	NM_022049	54112		NM_022049	ENSG00000181656	GPR88	COCPMR|STRG	G protein-coupled receptor 88	protein-coding
C16_Up_LUT_NA-492	chr4	65789502	65790330	+	0	NA	Intergenic	MLT1E1A|LTR|ERVL-MaLR	-119421	NM_001281765	2044		NM_004439	ENSG00000145242	EPHA5	CEK7|EHK-1|EHK1|EK7|HEK7|TYRO4	EPH receptor A5	protein-coding
C16_NA_LUT_Up-1520	chr8	86729696	86729945	+	0	NA	intron (NM_019098, intron 2 of 17)	intron (NM_019098, intron 2 of 17)	13814	NM_019098	54714		NM_019098	ENSG00000170289	CNGB3	ACHM1	cyclic nucleotide gated channel subunit beta 3	protein-coding
C16_NA_LUT_Up-494	chr17	56577135	56578411	+	0	NA	Intergenic	Intergenic	-15926	NM_005450	9241		NM_005450	ENSG00000183691	NOG	SYM1|SYNS1|SYNS1A	noggin	protein-coding
C16_Up_LUT_NA-476	chr4	31156137	31156577	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-14787	NR_125935	102723778		NR_125935		LINC02497	-	long intergenic non-protein coding RNA 2497	ncRNA
