PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LINC02670	chr10	9833786	9834436	+	0	NA	Intergenic	Intergenic	-224611	NR_120636	101928298		NR_120636	ENSG00000224788	LINC02670	-	long intergenic non-protein coding RNA 2670	ncRNA
TMC1	chr9	72589931	72590413	+	0	NA	intron (NM_138691, intron 2 of 23)	intron (NM_138691, intron 2 of 23)	68564	NM_138691	117531		NM_138691	ENSG00000165091	TMC1	DFNA36|DFNB11|DFNB7	transmembrane channel like 1	protein-coding
HSF2	chr6	121932278	121932914	+	0	NA	Intergenic	Intergenic	-466955	NM_001135564	3298		NM_004506	ENSG00000025156	HSF2	HSF 2|HSTF 2	heat shock transcription factor 2	protein-coding
LINC01625	chr6	139587731	139588881	+	0	NA	Intergenic	Intergenic	-113710	NR_033919	645434		NR_033919	ENSG00000238099	LINC01625	-	long intergenic non-protein coding RNA 1625	ncRNA
MAT2B	chr5	163596050	163596394	+	0	NA	Intergenic	Intergenic	90603	NM_013283	27430		NM_013283	ENSG00000038274	MAT2B	MAT-II|MATIIbeta|Nbla02999|SDR23E1|TGR	methionine adenosyltransferase 2 non-catalytic beta subunit	protein-coding
LINC01787	chr1	96400122	96400628	+	0	NA	Intergenic	L1P4|LINE|L1	-26250	NR_110693	101928241		NR_110693	ENSG00000231987	LINC01787	-	long intergenic non-protein coding RNA 1787	ncRNA
PPP2R2B	chr5	146745861	146746490	+	0	NA	intron (NM_001271899, intron 2 of 9)	intron (NM_001271899, intron 2 of 9)	132582	NR_073526	5521		NM_181674	ENSG00000156475	PPP2R2B	B55BETA|PP2AB55BETA|PP2ABBETA|PP2APR55B|PP2APR55BETA|PR2AB55BETA|PR2ABBETA|PR2APR55BETA|PR52B|PR55-BETA|PR55BETA|SCA12	protein phosphatase 2 regulatory subunit Bbeta	protein-coding
KDM4C	chr9	7185751	7186362	+	0	NA	Intergenic	Intergenic	428083	NM_001304340	23081		NM_015061	ENSG00000107077	KDM4C	GASC1|JHDM3C|JMJD2C|TDRD14C	lysine demethylase 4C	protein-coding
ANXA5	chr4	121666166	121666429	+	0	NA	Intergenic	ERV3-16A3_LTR|LTR|ERVL	30683	NM_001154	308		NM_001154	ENSG00000164111	ANXA5	ANX5|CPB-I|ENX2|HEL-S-7|PP4|RPRGL3|VAC-alph	annexin A5	protein-coding
NOVA1	chr14	26138563	26139295	+	0	NA	Intergenic	Intergenic	414501	NM_001366398	4857		NM_002515	ENSG00000139910	NOVA1	Nova-1	NOVA alternative splicing regulator 1	protein-coding
DAPK1-IT1	chr9	87606981	87607872	+	0	NA	intron (NM_001288730, intron 3 of 25)	intron (NM_001288730, intron 3 of 25)	53972	NR_146781	100506897		NR_146781	ENSG00000236709	DAPK1-IT1	-	DAPK1 intronic transcript 1	ncRNA
NAV2-2	chr11	19984935	19985398	+	0	NA	intron (NM_145117, intron 11 of 37)	intron (NM_145117, intron 11 of 37)	-37390	NM_001111019	89797		NM_145117	ENSG00000166833	NAV2	HELAD1|POMFIL2|RAINB1|STEERIN2|UNC53H2	neuron navigator 2	protein-coding
MIR4460	chr5	129410579	129410889	+	0	NA	Intergenic	Intergenic	-13587	NR_039665	100616325		NR_039665	ENSG00000265691	MIR4460	-	microRNA 4460	ncRNA
RNF152	chr18	61998000	61999475	+	0	NA	Intergenic	Intergenic	-105730	NM_173557	220441		NM_173557	ENSG00000176641	RNF152	-	ring finger protein 152	protein-coding
SYNE1	chr6	152054594	152054941	+	0	NA	intron (NM_001385572, intron 5 of 6)	intron (NM_001385572, intron 5 of 6)	113520	NM_001347702	23345		NM_015293	ENSG00000131018	SYNE1	8B|AMC3|AMCM|ARCA1|C6orf98|CPG2|EDMD4|KASH1|MYNE1|Nesp1|SCAR8|dJ45H2.2	spectrin repeat containing nuclear envelope protein 1	protein-coding
MIR3938	chr3	56125305	56125819	+	0	NA	intron (NM_015576, intron 6 of 16)	intron (NM_015576, intron 6 of 16)	-272968	NR_037502	100500875		NR_037502	ENSG00000264013	MIR3938	-	microRNA 3938	ncRNA
SMCO4	chr11	93494510	93494775	+	0	NA	intron (NM_020179, intron 2 of 2)	intron (NM_020179, intron 2 of 2)	48749	NM_020179	56935		NM_020179	ENSG00000166002	SMCO4	C11orf75|FN5	single-pass membrane protein with coiled-coil domains 4	protein-coding
TSG1-2	chr6	93678888	93679373	+	0	NA	Intergenic	Intergenic	-24887	NR_152794	643432		NR_015362		TSG1	-	tumor suppressor TSG1	ncRNA
CDH8	chr16	62130227	62130526	+	0	NA	Intergenic	LTR16|LTR|ERVL	-93938	NM_001796	1006		NM_001796	ENSG00000150394	CDH8	Nbla04261	cadherin 8	protein-coding
SLC4A3	chr2	219733596	219734154	+	0	NA	Intergenic	L1MEh|LINE|L1	106245	NM_005070	6508		NM_005070	ENSG00000114923	SLC4A3	AE3|CAE3/BAE3|SLC2C|SQT7	solute carrier family 4 member 3	protein-coding
IRX1	chr5	3645747	3646064	+	0	NA	Intergenic	L1PA16|LINE|L1	50073	NM_024337	79192		NM_024337	ENSG00000170549	IRX1	IRX-5|IRXA1	iroquois homeobox 1	protein-coding
TTC14	chr3	180619584	180620562	+	0	NA	intron (NM_181426, intron 14 of 19)	intron (NM_181426, intron 14 of 19)	17910	NM_001288582	151613		NM_133462	ENSG00000163728	TTC14	DRDL5813|PRO19630	tetratricopeptide repeat domain 14	protein-coding
LINC00504	chr4	14850585	14851170	+	0	NA	intron (NR_126435, intron 2 of 6)	intron (NR_126435, intron 2 of 6)	37292	NR_126435	201853		NR_126435	ENSG00000248360	LINC00504	-	long intergenic non-protein coding RNA 504	ncRNA
DHX34	chr19	47370342	47370551	+	0	NA	intron (NM_014681, intron 7 of 16)	intron (NM_014681, intron 7 of 16)	21131	NM_014681	9704		NM_014681	ENSG00000134815	DHX34	DDX34|HRH1	DExH-box helicase 34	protein-coding
MIR622	chr13	90260035	90260449	+	0	NA	Intergenic	Intergenic	29060	NR_030754	693207		NR_030754	ENSG00000283783	MIR622	MIRN622|hsa-mir-622	microRNA 622	ncRNA
IFNAR1	chr21	33314235	33314639	+	0	NA	Intergenic	MER76|LTR|ERVL	-9958	NM_001384504	3454		NM_000629	ENSG00000142166	IFNAR1	AVP|IFN-alpha-REC|IFNAR|IFNBR|IFRC|IMD106	interferon alpha and beta receptor subunit 1	protein-coding
OVAAL	chr1	180586661	180587131	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	27922	NR_125716	148756		NR_125716	ENSG00000236719	OVAAL	LINC01131|OVAL|RMEL2	ovarian adenocarcinoma amplified long non-coding RNA	ncRNA
LINC00977-2	chr8	129103187	129104215	+	0	NA	Intergenic	Intergenic	137539	NR_033916	728724		NR_033916	ENSG00000229140	LINC00977	-	long intergenic non-protein coding RNA 977	ncRNA
PROS1	chr3	93844129	93844457	+	0	NA	Intergenic	LTR16A2|LTR|ERVL	129603	NM_000313	5627		NM_000313	ENSG00000184500	PROS1	PROS|PS21|PS22|PS23|PS24|PS25|PSA|THPH5|THPH6	protein S	protein-coding
DDX18-2	chr2	117514279	117514819	+	0	NA	Intergenic	Intergenic	-300142	NM_006773	8886		NM_006773	ENSG00000088205	DDX18	Has1|MrDb	DEAD-box helicase 18	protein-coding
ARRDC3-2	chr5	91487319	91487729	+	0	NA	Intergenic	MLT1G3|LTR|ERVL-MaLR	-104207	NM_001329672	57561		NM_020801	ENSG00000113369	ARRDC3	TLIMP	arrestin domain containing 3	protein-coding
SEMA5A-AS1	chr5	9523301	9524050	+	0	NA	intron (NM_003966, intron 1 of 22)	intron (NM_003966, intron 1 of 22)	12342	NR_109935	101929338		NR_109935	ENSG00000251370	SEMA5A-AS1	CTD-2201E9.1	SEMA5A antisense RNA 1	ncRNA
MIR8082	chr4	113142016	113142304	+	0	NA	intron (NM_001354240, intron 1 of 44)	intron (NM_001354240, intron 1 of 44)	-10122	NR_107049	102465878		NR_107049	ENSG00000275810	MIR8082	hsa-mir-8082	microRNA 8082	ncRNA
LMNTD1-3	chr12	25585043	25585613	+	0	NA	intron (NM_001352232, intron 1 of 10)	intron (NM_001352232, intron 1 of 10)	-32045	NM_152590	160492		NM_152590	ENSG00000152936	LMNTD1	IFLTD1|LMNARS1|PAS1C1	lamin tail domain containing 1	protein-coding
TMTC1	chr12	30026791	30027094	+	0	NA	Intergenic	LTR82B|LTR|ERVL	-242183	NM_175861	83857		NM_031920	ENSG00000133687	TMTC1	ARG99|OLF|TMTC1A	transmembrane O-mannosyltransferase targeting cadherins 1	protein-coding
LINC02112	chr5	9957671	9957954	+	0	NA	Intergenic	MamRep605|LTR?|LTR?	-53988	NR_027112	285692		NR_027112	ENSG00000249781	LINC02112	-	long intergenic non-protein coding RNA 2112	ncRNA
CCDC196-2	chr14	66367906	66369046	+	0	NA	Intergenic	LTR86A2|LTR|ERVL	-117895	NR_110307	440184		NM_001004331	ENSG00000196553	CCDC196	C14orf53|LINC00238|NCRNA00238	coiled-coil domain containing 196	protein-coding
VWC2L-IT1	chr2	214477235	214477525	+	0	NA	intron (NM_001080500, intron 3 of 3)	intron (NM_001080500, intron 3 of 3)	-32802	NR_047698	100885780		NR_047698	ENSG00000224257	VWC2L-IT1	-	VWC2L intronic transcript 1	ncRNA
PTPN20	chr10	47078869	47079359	+	0	NA	Intergenic	Intergenic	167392	NM_001042359	26095		NM_015605	ENSG00000204179	PTPN20	CT126|PTPN20A|PTPN20B|bA142I17.1|bA42B19.1	protein tyrosine phosphatase non-receptor type 20	protein-coding
YWHAZ	chr8	100989084	100990228	+	0	NA	Intergenic	FLAM_C|SINE|Alu	-36274	NM_003406	7534		NM_003406	ENSG00000164924	YWHAZ	14-3-3-zeta|HEL-S-3|HEL-S-93|HEL4|KCIP-1|POPCHAS|YWHAD	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta	protein-coding
LINC02648-3	chr10	6607756	6608041	+	0	NA	Intergenic	Intergenic	-10818	NR_120634	101928150		NR_120634		LINC02648	-	long intergenic non-protein coding RNA 2648	ncRNA
ATP1B3	chr3	141840580	141841780	+	0	NA	Intergenic	Intergenic	-35463	NM_001679	483		NM_001679	ENSG00000069849	ATP1B3	ATPB-3|CD298	ATPase Na+/K+ transporting subunit beta 3	protein-coding
SAMD9L	chr7	93156923	93157219	+	0	NA	Intergenic	Intergenic	-8686	NM_001350084	219285		NM_152703	ENSG00000177409	SAMD9L	ATXPC|C7DELq|C7orf6|DEL7q|DRIF2|M7MLS1|MLSM7|SCA49|UEF1	sterile alpha motif domain containing 9 like	protein-coding
LINC00972	chr7	85489501	85489980	+	0	NA	TTS (NR_134240)	TTS (NR_134240)	68618	NR_134240	105375380		NR_134240	ENSG00000225128	LINC00972	-	long intergenic non-protein coding RNA 972	ncRNA
TAB2	chr6	149166500	149167035	+	0	NA	Intergenic	Intergenic	-51157	NR_125861	23118		NM_015093	ENSG00000055208	TAB2	CHTD2|MAP3K7IP2|TAB-2	TGF-beta activated kinase 1 (MAP3K7) binding protein 2	protein-coding
ANGPT1	chr8	107380813	107381966	+	0	NA	intron (NM_001199859, intron 1 of 8)	intron (NM_001199859, intron 1 of 8)	-44874	NM_001314051	284		NM_001146	ENSG00000154188	ANGPT1	AGP1|AGPT|AGPT-1|ANG1|HAE5	angiopoietin 1	protein-coding
COL8A1	chr3	99541072	99541503	+	0	NA	Intergenic	Intergenic	-97307	NM_001850	1295		NM_001850	ENSG00000144810	COL8A1	C3orf7	collagen type VIII alpha 1 chain	protein-coding
STX8	chr17	9512497	9512738	+	0	NA	intron (NR_033656, intron 2 of 5)	AluSg|SINE|Alu	63203	NM_004853	9482		NM_004853	ENSG00000170310	STX8	CARB	syntaxin 8	protein-coding
COL6A3-2	chr2	237305761	237306878	+	0	NA	Intergenic	ERVL-E-int|LTR|ERVL	107845	NM_004369	1293		NM_004369	ENSG00000163359	COL6A3	BTHLM1|BTHLM1C|DYT27|UCMD1|UCMD1C	collagen type VI alpha 3 chain	protein-coding
LINC02041	chr3	187519354	187520570	+	0	NA	Intergenic	L1MC4|LINE|L1	72916	NR_146716	105374261		NR_146716		LINC02041	-	long intergenic non-protein coding RNA 2041	ncRNA
NEDD1-2	chr12	97127230	97127725	+	0	NA	Intergenic	Intergenic	220011	NM_001135175	121441		NM_152905	ENSG00000139350	NEDD1	GCP-WD|TUBGCP7	NEDD1 gamma-tubulin ring complex targeting factor	protein-coding
LINC01755	chr1	56074231	56074616	+	0	NA	Intergenic	Intergenic	129336	NR_147161	105378738		NR_147161	ENSG00000233079	LINC01755	-	long intergenic non-protein coding RNA 1755	ncRNA
SDK1	chr7	3573288	3573961	+	0	NA	intron (NM_152744, intron 1 of 44)	MamRTE1|LINE|RTE-BovB	272372	NM_152744	221935		NM_152744	ENSG00000146555	SDK1	-	sidekick cell adhesion molecule 1	protein-coding
LGI1	chr10	93753751	93755136	+	0	NA	Intergenic	LTR88c|LTR|Gypsy?	-3366	NM_001308276	9211		NM_005097	ENSG00000108231	LGI1	ADLTE|ADPAEF|ADPEAF|EPITEMPIN|EPT|ETL1|IB1099	leucine rich glioma inactivated 1	protein-coding
ETS1	chr11	128404410	128404781	+	0	NA	Intergenic	Intergenic	117715	NM_005238	2113		NM_005238	ENSG00000134954	ETS1	ETS-1|EWSR2|c-ets-1|p54	ETS proto-oncogene 1, transcription factor	protein-coding
LINC01894	chr18	24861300	24861549	+	0	NA	Intergenic	Intergenic	126555	NR_146903	105372030		NR_146903	ENSG00000264345	LINC01894	-	long intergenic non-protein coding RNA 1894	ncRNA
RAB27B-2	chr18	54771993	54772471	+	0	NA	intron (NM_001375327, intron 2 of 6)	UCON65|Unknown|Unknown	54375	NM_001375327	5874		NM_004163	ENSG00000041353	RAB27B	C25KG	RAB27B, member RAS oncogene family	protein-coding
PRDM9	chr5	23466408	23466793	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-40555	NM_001376900	56979		NM_020227	ENSG00000164256	PRDM9	KMT8B|MEISETZ|MSBP3|PFM6|ZNF899	PR/SET domain 9	protein-coding
SAYSD1	chr6	39128057	39128441	+	0	NA	Intergenic	Intergenic	-13063	NM_018322	55776		NM_018322	ENSG00000112167	SAYSD1	C6orf64	SAYSVFN motif domain containing 1	protein-coding
MIR584	chr5	149024710	149025295	+	0	NA	intron (NM_024577, intron 12 of 16)	intron (NM_024577, intron 12 of 16)	37407	NR_030310	693169		NR_030310	ENSG00000207714	MIR584	MIRN584|hsa-mir-584	microRNA 584	ncRNA
LINC00052	chr15	87575948	87577176	+	0	NA	promoter-TSS (NR_026869)	promoter-TSS (NR_026869)	-367	NR_026869	145978		NM_152454	ENSG00000259527	LINC00052	NCRNA00052|TMEM83	long intergenic non-protein coding RNA 52	ncRNA
MIR28	chr3	188656352	188657102	+	0	NA	intron (NR_164692, intron 6 of 9)	intron (NR_164692, intron 6 of 9)	-32054	NR_029502	407020		NR_029502	ENSG00000207651	MIR28	MIRN28|hsa-mir-28|miR-28	microRNA 28	ncRNA
LINC01753-2	chr1	55612898	55613586	+	0	NA	Intergenic	Arthur1|DNA|hAT-Tip100	331721	NR_147162	105378739		NR_147162	ENSG00000230250	LINC01753	-	long intergenic non-protein coding RNA 1753	ncRNA
LINC02484	chr4	34180965	34181471	+	0	NA	intron (NR_147184, intron 2 of 3)	LTR41C|LTR|ERVL	88529	NR_147183	105374394		NR_147183		LINC02484	-	long intergenic non-protein coding RNA 2484	ncRNA
UNC5C	chr4	95465066	95465421	+	0	NA	intron (NM_003728, intron 1 of 15)	intron (NM_003728, intron 1 of 15)	83730	NM_003728	8633		NM_003728	ENSG00000182168	UNC5C	UNC5H3	unc-5 netrin receptor C	protein-coding
FSIP2-AS2	chr2	185456713	185456899	+	0	NA	Intergenic	L1ME3A|LINE|L1	281913	NR_110216	101927196		NR_110214	ENSG00000226747	FSIP2-AS2	-	FSIP2 antisense RNA 2	ncRNA
PRKCE	chr2	45973193	45974008	+	0	NA	intron (NM_005400, intron 2 of 14)	intron (NM_005400, intron 2 of 14)	321925	NM_005400	5581		NM_005400	ENSG00000171132	PRKCE	PKCE|nPKC-epsilon	protein kinase C epsilon	protein-coding
PCNX2	chr1	233183570	233184106	+	0	NA	intron (NM_014801, intron 15 of 33)	intron (NM_014801, intron 15 of 33)	111887	NM_014801	80003		NM_014801	ENSG00000135749	PCNX2	PCNXL2	pecanex 2	protein-coding
SCEL	chr13	77507856	77509618	+	0	NA	Intergenic	Intergenic	-26937	NM_001160706	8796		NM_003843	ENSG00000136155	SCEL	-	sciellin	protein-coding
GRM7-AS1	chr3	7682673	7683358	+	0	NA	intron (NM_000844, intron 9 of 9)	MIRb|SINE|MIR	-147731	NR_046606	100873937		NR_046606	ENSG00000236202	GRM7-AS1	-	GRM7 antisense RNA 1	ncRNA
GPAT3	chr4	83860334	83860765	+	0	NA	Intergenic	MER44A|DNA|TcMar-Tigger	324441	NM_032717	84803		NM_032717	ENSG00000138678	GPAT3	AGPAT 10|AGPAT10|AGPAT8|AGPAT9|HMFN0839|LPAAT-theta|MAG1	glycerol-3-phosphate acyltransferase 3	protein-coding
TRPS1	chr8	115055916	115057039	+	0	NA	Intergenic	Intergenic	611536	NM_001282902	7227		NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	transcriptional repressor GATA binding 1	protein-coding
CCNL1	chr3	157190375	157190849	+	0	NA	Intergenic	MER4A|LTR|ERV1	-30465	NM_020307	57018		NM_020307	ENSG00000163660	CCNL1	ANIA6A|BM-001|PRO1073|ania-6a	cyclin L1	protein-coding
LINC01985	chr3	30282240	30282727	+	0	NA	Intergenic	Intergenic	-236385	NR_147054	101928015		NR_147054	ENSG00000227260	LINC01985	-	long intergenic non-protein coding RNA 1985	ncRNA
NHS	chrX	17602270	17602632	+	0	NA	intron (NM_001291867, intron 1 of 8)	intron (NM_001291867, intron 1 of 8)	-33049	NM_001136024	4810		NM_198270	ENSG00000188158	NHS	CTRCT40|CXN|SCML1	NHS actin remodeling regulator	protein-coding
MTCL1	chr18	8813402	8813892	+	0	NA	intron (NM_015210, intron 12 of 16)	intron (NM_015210, intron 12 of 16)	96266	NM_015210	23255		NM_015210	ENSG00000168502	MTCL1	CCDC165|KIAA0802|SOGA2	microtubule crosslinking factor 1	protein-coding
GRID2	chr4	92863838	92864657	+	0	NA	intron (NM_001286838, intron 2 of 14)	MamGypsy2-I|LTR|Gypsy	559848	NM_001286838	2895		NM_001510	ENSG00000152208	GRID2	GluD2|SCAR18	glutamate ionotropic receptor delta type subunit 2	protein-coding
TFDP2	chr3	141959695	141960889	+	0	NA	intron (NM_006286, intron 8 of 10)	intron (NM_006286, intron 8 of 10)	40079	NM_001178140	7029		NM_006286	ENSG00000114126	TFDP2	DP2	transcription factor Dp-2	protein-coding
KLF4-2	chr9	108093654	108094499	+	0	NA	Intergenic	Intergenic	-604307	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
TGFBR2	chr3	30655150	30655871	+	0	NA	intron (NM_001024847, intron 4 of 7)	intron (NM_001024847, intron 4 of 7)	48909	NM_003242	7048		NM_003242	ENSG00000163513	TGFBR2	AAT3|FAA3|LDS1B|LDS2|LDS2B|MFS2|RIIC|TAAD2|TBR-ii|TBRII|TGFR-2|TGFbeta-RII|tbetaR-II	transforming growth factor beta receptor 2	protein-coding
SKP1P2	chr12	17180666	17180859	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	192015	NR_036619	728622		NR_036619		SKP1P2	SKP1B|p19B	S-phase kinase associated protein 1 pseudogene 2	pseudo
SLC6A15	chr12	84701750	84702728	+	0	NA	Intergenic	MER21C|LTR|ERVL	210560	NM_001146335	55117		NM_018057	ENSG00000072041	SLC6A15	NTT73|SBAT1|V7-3|hv7-3	solute carrier family 6 member 15	protein-coding
HTR1A	chr5	63414643	63415308	+	0	NA	Intergenic	Intergenic	547470	NM_000524	3350		NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
RASEF	chr9	83130406	83131101	+	0	NA	Intergenic	L2c|LINE|L2	-67611	NM_152573	158158		NM_152573	ENSG00000165105	RASEF	RAB45|TSG	RAS and EF-hand domain containing	protein-coding
SIL1	chr5	139107960	139108847	+	0	NA	intron (NM_022464, intron 3 of 9)	intron (NM_022464, intron 3 of 9)	89965	NM_001037633	64374		NM_022464	ENSG00000120725	SIL1	BAP|MSS|ULG5	SIL1 nucleotide exchange factor	protein-coding
CDH18-AS1	chr5	20360314	20360678	+	0	NA	intron (NM_001349558, intron 1 of 15)	MER130|DNA|DNA	54945	NR_146519	102725105		NR_146519	ENSG00000249854	CDH18-AS1	-	CDH18 antisense RNA 1	ncRNA
FERD3L	chr7	19404959	19405386	+	0	NA	Intergenic	Intergenic	-259751	NM_152898	222894		NM_152898	ENSG00000146618	FERD3L	N-TWIST|NATO3|NTWIST|PTFB|bHLHa31	Fer3 like bHLH transcription factor	protein-coding
TRPM1	chr15	31157171	31157638	+	0	NA	intron (NM_001252020, intron 1 of 26).2	L1ME3C|LINE|L1	3869	NM_001252020	4308		NM_002420	ENSG00000134160	TRPM1	CSNB1C|LTRPC1|MLSN1	transient receptor potential cation channel subfamily M member 1	protein-coding
KLF4-3	chr9	108099867	108100231	+	0	NA	Intergenic	Intergenic	-610280	NM_001314052	9314		NM_004235	ENSG00000136826	KLF4	EZF|GKLF	KLF transcription factor 4	protein-coding
ZP4	chr1	238139775	238140060	+	0	NA	Intergenic	LTR8B|LTR|ERV1	-248995	NM_021186	57829		NM_021186	ENSG00000116996	ZP4	ZBP|ZP1|ZP1B|ZPB|ZPB2|Zp-4	zona pellucida glycoprotein 4	protein-coding
CTSG	chr14	24558225	24558561	+	0	NA	Intergenic	MLT1D|LTR|ERVL-MaLR	17857	NM_001911	1511		NM_001911	ENSG00000100448	CTSG	CATG|CG	cathepsin G	protein-coding
SYT14	chr1	209925842	209927340	+	0	NA	Intergenic	L3|LINE|CR1	-11583	NM_001146261	255928		NM_153262	ENSG00000143469	SYT14	SCAR11|sytXIV	synaptotagmin 14	protein-coding
CRPPA-AS1	chr7	16084135	16084467	+	0	NA	Intergenic	Intergenic	-126185	NR_038946	100506025		NR_038946	ENSG00000229688	CRPPA-AS1	ISPD-AS1	CRPPA antisense RNA 1	ncRNA
BEND5	chr1	48878286	48878878	+	0	NA	intron (NR_136623, intron 4 of 12)	L2b|LINE|L2	-101613	NR_146232	79656		NM_024603	ENSG00000162373	BEND5	C1orf165	BEN domain containing 5	protein-coding
STPG2-AS1	chr4	97396086	97396291	+	0	NA	intron (NR_102713, intron 1 of 5)	intron (NR_102713, intron 1 of 5)	29262	NR_102713	101410545		NR_102713	ENSG00000251620	STPG2-AS1	-	STPG2 antisense RNA 1	ncRNA
LIPG	chr18	49656091	49656558	+	0	NA	Intergenic	Intergenic	94267	NM_001308006	9388		NM_006033	ENSG00000101670	LIPG	EDL|EL|PRO719	lipase G, endothelial type	protein-coding
OTX2-AS1	chr14	56885907	56888196	+	0	NA	intron (NR_146411, intron 2 of 2)	intron (NR_146411, intron 2 of 2)	73893	NR_029385	100309464		NR_029385	ENSG00000248550	OTX2-AS1	OTX2OS1	OTX2 antisense RNA 1 (head to head)	ncRNA
SNORA89	chr14	33714825	33715374	+	0	NA	intron (NM_173159, intron 6 of 11)	intron (NM_173159, intron 6 of 11)	6162	NR_132771	106635522		NR_132771		SNORA89	-	small nucleolar RNA, H/ACA box 89	snoRNA
RASGEF1B-2	chr4	81555493	81555801	+	0	NA	Intergenic	Intergenic	-83740	NM_001300735	153020		NM_152545	ENSG00000138670	RASGEF1B	GPIG4	RasGEF domain family member 1B	protein-coding
LINC01122	chr2	58497173	58497898	+	0	NA	Intergenic	L2b|LINE|L2	-23218	NR_033873	400955		NR_033873	ENSG00000233723	LINC01122	-	long intergenic non-protein coding RNA 1122	ncRNA
LGALS7B	chr19	38799796	38800205	+	0	NA	Intergenic	AluSc|SINE|Alu	10800	NM_001042507	653499		NM_001042507	ENSG00000178934	LGALS7B	GAL7|Gal-7|HKL-14|LGALS7|PI7	galectin 7B	protein-coding
LINC01714	chr1	8182170	8182796	+	0	NA	Intergenic	Intergenic	-26189	NR_125998	102724539		NR_125998	ENSG00000227634	LINC01714	-	long intergenic non-protein coding RNA 1714	ncRNA
LINC02432	chr4	141391320	141392179	+	0	NA	Intergenic	MLT1K|LTR|ERVL-MaLR	-59132	NR_121625	100507639		NR_121625	ENSG00000248810	LINC02432	-	long intergenic non-protein coding RNA 2432	ncRNA
NRXN3	chr14	79324943	79325797	+	0	NA	intron (NR_073546, intron 1 of 7)	intron (NR_073546, intron 1 of 7)	45990	NR_073546	9369		NM_004796	ENSG00000021645	NRXN3	C14orf60	neurexin 3	protein-coding
PLPPR1	chr9	101127142	101127783	+	0	NA	intron (NM_207299, intron 1 of 7)	LTR14B|LTR|ERVK	-57573	NM_017753	54886		NM_017753	ENSG00000148123	PLPPR1	LPPR1|PRG-3|PRG3	phospholipid phosphatase related 1	protein-coding
TSN-2	chr2	121970158	121970428	+	0	NA	Intergenic	Intergenic	214642	NM_004622	7247		NM_004622	ENSG00000211460	TSN	BCLF-1|C3PO|RCHF1|REHF-1|TBRBP|TRSLN	translin	protein-coding
LINC01411	chr5	174511905	174512115	+	0	NA	intron (NR_125806, intron 2 of 5)	L1ME4b|LINE|L1	175656	NR_125806	101928176		NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
LINC01793	chr2	58923933	58924246	+	0	NA	intron (NR_033873, intron 4 of 13)	intron (NR_033873, intron 4 of 13)	-293619	NR_110219	101927285		NR_110219	ENSG00000222030	LINC01793	-	long intergenic non-protein coding RNA 1793	ncRNA
LINC02223	chr5	18483330	18483802	+	0	NA	Intergenic	Intergenic	676292	NR_134286	646241		NR_134286		LINC02223	-	long intergenic non-protein coding RNA 2223	ncRNA
MIR548W	chr16	25950618	25951403	+	0	NA	intron (NM_006040, intron 1 of 1)	intron (NM_006040, intron 1 of 1)	-74227	NR_036146	100422923		NR_036146	ENSG00000265005	MIR548W	-	microRNA 548w	ncRNA
RCN1	chr11	32083057	32083609	+	0	NA	Intergenic	Intergenic	-7741	NM_002901	5954		NM_002901	ENSG00000049449	RCN1	HEL-S-84|PIG20|RCAL|RCN	reticulocalbin 1	protein-coding
ISL1	chr5	51495748	51496013	+	0	NA	Intergenic	Intergenic	112432	NM_002202	3670		NM_002202	ENSG00000016082	ISL1	ISLET1|Isl-1	ISL LIM homeobox 1	protein-coding
CAMK2D	chr4	113784595	113785226	+	0	NA	Intergenic	Intergenic	-22983	NM_172115	817		NM_001221	ENSG00000145349	CAMK2D	CAMKD	calcium/calmodulin dependent protein kinase II delta	protein-coding
LINC00841	chr10	44039644	44040148	+	0	NA	Intergenic	Intergenic	127494	NR_136148	283033		NR_033846		LINC00841	-	long intergenic non-protein coding RNA 841	ncRNA
LINC01619	chr12	91988248	91988738	+	0	NA	intron (NR_132339, intron 3 of 4)	MamRTE1|LINE|RTE-BovB	153220	NR_046159	256021		NM_001256373	ENSG00000257242	LINC01619	C12orf79	long intergenic non-protein coding RNA 1619	ncRNA
MIR466	chr3	31137844	31138852	+	0	NA	Intergenic	Intergenic	23439	NR_130459	100423038		NR_130459	ENSG00000265376	MIR466	hsa-mir-466	microRNA 466	ncRNA
